"module name","license","repository"
"@babel/plugin-transform-react-jsx-self@7.24.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-source@7.24.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx@7.24.7","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-pure-annotations@7.24.7","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-regenerator@7.24.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-reserved-words@7.24.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-runtime@7.24.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-shorthand-properties@7.24.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-spread@7.24.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-sticky-regex@7.24.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-template-literals@7.24.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-typeof-symbol@7.24.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-typescript@7.24.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-escapes@7.24.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-property-regex@7.24.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-regex@7.24.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-sets-regex@7.24.6","MIT","https://github.com/babel/babel"
"@babel/preset-env@7.24.6","MIT","https://github.com/babel/babel"
"@babel/preset-flow@7.24.6","MIT","https://github.com/babel/babel"
"@babel/preset-modules@0.1.6-no-external-plugins","MIT","https://github.com/babel/preset-modules"
"@babel/preset-react@7.24.7","MIT","https://github.com/babel/babel"
"@babel/preset-typescript@7.24.6","MIT","https://github.com/babel/babel"
"@babel/register@7.24.6","MIT","https://github.com/babel/babel"
"@babel/regjsgen@0.8.0","MIT","https://github.com/bnjmnt4n/regjsgen"
"@babel/runtime@7.24.6","MIT","https://github.com/babel/babel"
